,domain,change_numbers,change_duration_mean,change_duration_std,change_amp,label
0,washingtonpost.com,3,2.0,0.0,0.7516083392306235,0
1,linuxidc.com,3,2.3333333333333335,0.4714045207910317,1.3696356726888634,0
2,wired.com,2,2.0,0.0,0.0,0
3,archiveofourown.org,3,2.0,0.0,0.6705664989726873,0
4,clipconverter.cc,4,2.0,0.0,0.7821680458908702,0
5,newegg.com,2,2.5,0.5,0.7896354874685264,0
6,udacity.com,2,2.0,0.0,0.0,0
7,juejin.im,4,2.5,0.5,0.46783176052312325,0
8,secureserver.net,2,2.0,0.0,0.0,0
9,slate.com,2,2.0,0.0,0.0,0
10,java.com,3,2.0,0.0,0.8604932600219989,0
11,siteadvisor.com,0,0.0,0.0,0.0,0
12,bzw315.com,2,2.0,0.0,0.0,0
13,americanexpress.com,1,2.0,0.0,3.7527767497325675,0
14,rightmove.co.uk,3,2.0,0.0,0.47923845147079297,0
15,dropbox.com,2,2.0,0.0,0.0,0
16,dawn.com,2,2.0,0.0,0.0,0
17,jianshu.com,3,2.0,0.0,0.7713537590513132,0
18,dailymail.co.uk,1,2.0,0.0,5.790660241435861,0
19,xhamster.com,1,2.0,0.0,4.161198597819119,0
20,telegraph.co.uk,3,2.0,0.0,0.6764230861423345,0
21,skype.com,1,2.0,0.0,3.45471102244277,0
22,spiceworks.com,0,0.0,0.0,0.0,0
23,plex.tv,3,2.0,0.0,0.4889014892737346,0
24,usatoday.com,3,2.0,0.0,0.4919163266187081,0
25,express.co.uk,1,2.0,0.0,3.752776749732568,0
26,piriform.com,2,4.0,0.0,0.004082104019233368,0
27,kooora.com,2,2.0,0.0,2.8646789772569448,0
28,ibaotu.com,5,2.0,0.0,0.3055653215694745,0
29,ancestry.com,0,0.0,0.0,0.0,0
30,admaimai.com,0,0.0,0.0,0.0,0
31,wps.cn,2,2.0,0.0,0.0,0
32,jd.com,2,2.0,0.0,0.0,0
33,jianguoyun.com,2,2.0,0.0,0.0,0
34,alibaba.com,2,2.0,0.0,0.0,0
35,uc.cn,2,2.0,0.0,0.0,0
36,ftchinese.com,2,2.0,0.0,0.0,0
37,sina.com.cn,2,2.0,0.0,0.0,0
38,bilibili.com,2,2.0,0.0,0.0,0
39,mob.com,2,2.0,0.0,0.0,0
40,meizu.com,2,2.0,0.0,0.0,0
41,smartisan.com,2,2.0,0.0,0.0,0
42,google.com,2,2.0,0.0,0.0,0
43,51job.com,2,2.0,0.0,0.0,0
44,msn.com,2,2.0,0.0,0.0,0
45,frdic.com,2,2.0,0.0,0.0,0
46,xiami.com,2,2.0,0.0,0.0,0
47,zhihu.com,2,2.0,0.0,0.0,0
48,1688.com,2,2.0,0.0,0.0,0
49,mafengwo.cn,2,2.0,0.0,0.0,0
50,xiaohongshu.com,2,2.0,0.0,0.0,0
51,qy.net,2,2.0,0.0,0.0,0
52,yy.com,2,2.0,0.0,0.0,0
53,godaddy.com,2,2.0,0.0,0.0,0
54,youth.cn,2,2.0,0.0,0.0,0
55,cnblogs.com,2,2.0,0.0,0.0,0
56,pptv.com,2,2.0,0.0,0.0,0
57,adidas.com,0,0.0,0.0,0.0,0
58,chess.com,3,2.0,0.0,0.7865821817540345,0
59,w3cschool.cn,3,2.0,0.0,0.7516083392306235,0
60,wanfangdata.com.cn,2,2.0,0.0,0.0,0
61,xinhuanet.com,2,2.0,0.0,0.0,0
62,miwifi.com,2,2.0,0.0,0.0,0
63,ximalaya.com,2,2.0,0.0,0.0,0
64,youdao.com,2,2.0,0.0,0.0,0
65,people.com.cn,2,2.0,0.0,0.0,0
66,microsoft.com,2,2.0,0.0,0.0,0
67,lenovo.com.cn,2,2.0,0.0,0.0,0
68,weibo.com,2,2.0,0.0,0.0,0
69,china.org.cn,2,2.0,0.0,0.0,0
70,chinadaily.com.cn,2,2.0,0.0,0.0,0
71,vivo.com.cn,2,2.0,0.0,0.0,0
72,ubuntu.com,2,2.0,0.0,0.0,0
73,xunlei.com,2,2.0,0.0,0.0,0
74,iciba.com,2,2.0,0.0,0.0,0
75,webofknowledge.com,2,2.0,0.0,0.0,0
76,apple.com,2,2.0,0.0,0.0,0
77,time-weekly.com,2,2.0,0.0,0.0,0
78,dzwww.com,2,2.0,0.0,0.0,0
79,xiaomi.com,2,2.0,0.0,0.0,0
80,renren.com,2,2.0,0.0,0.0,0
81,teamviewer.com,2,2.0,0.0,0.0,0
82,qunar.com,2,2.0,0.0,0.0,0
83,dianping.com,2,2.0,0.0,0.0,0
84,xuetangx.com,2,2.0,0.0,0.0,0
85,jjwxc.net,2,2.0,0.0,0.0,0
86,chaoxing.com,2,2.0,0.0,0.0,0
87,samsung.com.cn,2,2.0,0.0,0.0,0
88,tianya.cn,2,8.0,3.0,1.1196332067205237,0
89,pplive.cn,2,2.0,0.0,0.0,0
90,runoob.com,2,2.0,0.0,0.0,0
91,doc88.com,2,2.0,0.0,0.0,0
92,ithome.com,2,2.0,0.0,0.0,0
93,asahi.com,2,2.0,0.0,0.0,0
94,qingting.fm,2,2.0,0.0,0.0,0
95,zdic.net,2,5.0,1.0,0.26343993263595733,0
96,muchong.com,2,2.0,0.0,0.0,0
97,zhaopin.com,2,6.0,3.0,0.9203235342598147,0
98,addthis.com,1,9.0,0.0,3.1307117531978257,0
99,sciencenet.cn,1,9.0,0.0,3.2606500850132836,0
100,ctrip.com,2,2.0,0.0,0.0,0
101,icourse163.org,2,2.0,0.0,0.0,0
102,koolearn.com,2,2.0,0.0,0.0,0
103,hexun.com,2,6.5,3.5,1.260965252267397,0
104,douban.com,1,15.0,0.0,3.5480933548043225,0
105,rarbg.to,5,2.2,0.39999999999999997,0.25013879893731455,0
106,gemius.pl,2,6.0,3.0,1.195552739562869,0
107,4chan.org,2,2.0,0.0,0.0,0
108,imooc.com,2,2.0,0.0,0.0,0
109,spotify.com,2,8.0,1.0,1.0585604185995372,0
110,cqvip.com,2,6.0,3.0,1.1178928675852273,0
111,cnet.com,2,2.0,0.0,0.19112357172983807,0
112,flightradar24.com,1,9.0,0.0,3.3109803671745914,0
113,hujiang.com,2,5.5,3.5,1.0153250620076864,0
114,jumei.com,1,11.0,0.0,3.347424786537339,0
115,jquery.com,1,9.0,0.0,3.0132253534302773,0
116,qiniu.com,2,7.0,2.0,1.7384870950481102,0
117,qiaobutang.com,2,2.0,0.0,0.0,0
118,zongheng.com,2,4.0,0.0,2.2523876136946654,0
119,fastpic.ru,3,2.3333333333333335,0.4714045207910317,0.645903430438728,0
120,ci123.com,2,7.0,1.0,0.8016434748927012,0
121,guancha.cn,2,6.0,3.0,0.804519974477888,0
122,oracle.com,3,2.6666666666666665,0.9428090415820634,0.4427429124428697,0
123,spotscenered.info,3,2.0,0.0,0.37682584119589774,0
124,huya.com,2,2.0,0.0,0.0,0
125,kuwo.cn,2,2.0,0.0,0.0,0
126,miui.com,2,2.0,0.0,0.0,0
127,cnki.net,2,2.0,0.0,0.0,0
128,ele.me,1,9.0,0.0,3.2120606196042263,0
129,so.com,2,2.0,0.0,0.0,0
130,mi.com,2,2.0,0.0,0.0,0
131,163.com,2,2.0,0.0,0.0,0
132,gmw.cn,2,2.0,0.0,0.0,0
133,126.com,2,2.0,0.0,0.0,0
134,nowcoder.com,2,2.0,0.0,0.0,0
135,xdf.cn,2,2.0,0.0,0.0,0
136,csdn.net,2,2.0,0.0,0.0,0
137,51cto.com,2,5.5,2.5,0.9140821969221683,0
138,nationalgeographic.com,2,2.0,0.0,0.0,0
139,githubusercontent.com,1,3.0,0.0,7.773873403548643,0
140,uniqlo.com,2,2.0,0.0,0.0,0
141,shutterstock.com,4,2.25,0.4330127018922193,0.8175868433463921,0
142,playstation.com,3,2.0,0.0,0.25376302211227736,0
143,buzzfeed.com,2,2.0,0.0,0.0,0
144,valuecommerce.com,3,2.0,0.0,0.2540943624877577,0
145,codepen.io,1,2.0,0.0,3.0439038876405053,0
146,zara.com,2,2.0,0.0,1.706591352409137,0
147,investing.com,2,2.0,0.0,0.0,0
148,vporn.com,0,0.0,0.0,0.0,0
149,ask.com,0,0.0,0.0,0.0,0
150,tradedoubler.com,2,2.0,0.0,1.706591352409137,0
151,mlb.com,2,2.0,0.0,0.0,0
152,digitalocean.com,3,2.0,0.0,0.5790660241435862,0
153,friv.com,2,2.0,0.0,0.0,0
154,gyazo.com,0,0.0,0.0,0.0,0
155,instagram.com,0,0.0,0.0,0.0,0
156,amazon.de,0,0.0,0.0,0.0,0
157,patreon.com,3,2.0,0.0,1.6321563730934325,0
158,monster.com,2,2.0,0.0,2.2706503042895365,0
159,duckduckgo.com,1,2.0,0.0,3.752776749732568,0
160,savefrom.net,2,2.0,0.0,2.3214285714285716,0
161,yifysubtitles.com,1,3.0,0.0,4.0625,0
162,tumblr.com,1,2.0,0.0,8.125,0
163,tutorialspoint.com,1,2.0,0.0,3.45471102244277,0
164,doublepimp.com,1,2.0,0.0,8.125,0
165,gsmarena.com,0,0.0,0.0,0.0,0
166,bab.la,0,0.0,0.0,0.0,0
167,39.net,2,2.0,0.0,0.0,0
168,livejasmin.com,0,0.0,0.0,0.0,0
169,hp.com,2,2.0,0.0,0.0,0
170,dict.cn,2,2.0,0.0,0.0,0
171,mydrivers.com,2,3.5,0.5,1.0397797498205539,0
172,berkeley.edu,1,8.0,0.0,2.884616105476169,0
173,linkedin.com,2,8.0,1.0,1.0269735049388347,0
174,bootcss.com,1,11.0,0.0,3.2723527904713294,0
175,52pk.com,3,4.0,0.816496580927726,1.2356733225697485,0
176,vmall.com,1,15.0,0.0,3.849045753118386,0
177,lianjia.com,2,7.0,2.0,1.0218530082703823,0
178,guokr.com,2,5.5,3.5,2.12219694254584,0
179,shanbay.com,2,3.5,1.5,0.2943031853642508,0
180,eol.cn,2,2.0,0.0,0.0,0
181,ieee.org,4,4.0,1.224744871391589,0.3523431843780208,0
182,book118.com,2,5.5,3.5,1.8266288134471536,0
183,oeeee.com,2,7.5,2.5,1.0644669138490577,0
184,soso.com,2,2.0,0.0,0.0,0
185,itools.cn,5,3.0,1.2649110640673518,0.731225665066219,0
186,jb51.net,2,5.5,2.5,0.6366155208642554,0
187,mama.cn,2,6.5,3.5,1.15110658089188,0
188,anjuke.com,1,12.0,0.0,3.524175319397363,0
189,rapidgator.net,3,5.666666666666667,2.494438257849294,1.287528951206437,0
190,imagebam.com,1,9.0,0.0,3.1642865194980496,0
191,81.cn,4,3.0,1.224744871391589,0.1370315198035834,0
192,chsi.com.cn,3,5.0,2.943920288775949,0.8553084896239942,0
193,iobit.com,2,5.5,0.5,0.5192020803295456,0
194,github.com,1,2.0,0.0,3.365648808392444,0
195,51sole.com,3,3.3333333333333335,0.4714045207910317,1.3927170330857812,0
196,58pic.com,2,6.0,3.0,1.087374762421811,0
197,redocn.com,3,3.0,0.816496580927726,0.6141447204273643,0
198,mit.edu,2,2.0,0.0,0.0,0
199,mozilla.org,2,2.0,0.0,0.0,0
200,office.com,3,4.333333333333333,3.299831645537222,1.1764706877715305,0
201,iop.org,3,3.6666666666666665,1.247219128924647,1.5407246819215257,0
202,xbox.com,2,2.0,0.0,0.0,0
203,jikexueyuan.com,3,3.3333333333333335,0.9428090415820634,0.5503704569814305,0
204,visualstudio.com,2,7.5,0.5,0.5902812858117203,0
205,processon.com,2,2.0,0.0,0.0,0
206,readthedocs.io,2,4.0,2.0,0.6305080135742561,0
207,paypal.com,2,4.5,1.5,0.5581610057070054,0
208,yahoo.co.jp,4,2.75,1.299038105676658,0.6661626584779551,0
209,target.com,4,3.25,1.6393596310755,0.7057367169249955,0
210,hjenglish.com,2,5.5,3.5,1.2129889532578249,0
211,netflix.com,5,3.0,1.2649110640673518,0.266698230455221,0
212,soundcloud.com,3,3.6666666666666665,0.4714045207910317,1.7562555427106403,0
213,youboy.com,4,3.0,0.7071067811865476,0.8964875545548765,0
214,wikimedia.org,2,2.0,0.0,0.08088504321050372,0
215,oppo.com,2,5.5,2.5,2.311805559670426,0
216,coursera.org,3,4.0,0.816496580927726,0.42854141464596535,0
217,chosun.com,1,2.0,0.0,4.766031238193982,0
218,yhd.com,3,3.6666666666666665,1.247219128924647,0.6506458832901058,0
219,microsoftstore.com.cn,5,2.4,0.4898979485566356,0.3268896169879586,0
220,zcool.com.cn,3,4.666666666666667,1.8856180831641267,0.8164540684499016,0
221,force.com,4,2.25,0.4330127018922193,0.8936969259085259,0
222,last.fm,1,2.0,0.0,8.125,0
223,agoda.com,2,5.0,3.0,1.9696969696969697,0
224,bongacams.com,0,0.0,0.0,0.0,0
225,kalerkantho.com,0,0.0,0.0,0.0,0
226,manyvids.com,0,0.0,0.0,0.0,0
227,ikea.com,0,0.0,0.0,0.0,0
228,deviantart.net,0,0.0,0.0,0.0,0
229,foursquare.com,0,0.0,0.0,0.0,0
230,clixsense.com,3,2.6666666666666665,0.4714045207910317,1.269274655312883,0
231,bt.com,0,0.0,0.0,0.0,0
232,deviantart.com,0,0.0,0.0,0.0,0
233,leetcode.com,0,0.0,0.0,0.0,0
234,softonic.com,0,0.0,0.0,0.0,0
235,ups.com,0,0.0,0.0,0.0,0
236,myfitnesspal.com,0,0.0,0.0,0.0,0
237,smugmug.com,0,0.0,0.0,0.0,0
238,linkshrink.net,0,0.0,0.0,0.0,0
239,protect-your-privacy.net,0,0.0,0.0,0.0,0
240,amazon.fr,0,0.0,0.0,0.0,0
241,xfinity.com,0,0.0,0.0,0.0,0
242,kissanime.ru,0,0.0,0.0,0.0,0
243,google.ca,0,0.0,0.0,0.0,0
244,leo.org,0,0.0,0.0,0.0,0
245,myanimelist.net,0,0.0,0.0,0.0,0
246,lequipe.fr,0,0.0,0.0,0.0,0
247,kakao.com,0,0.0,0.0,0.0,0
248,shimo.im,0,0.0,0.0,0.0,0
249,blockchain.info,0,0.0,0.0,0.0,0
250,fitbit.com,0,0.0,0.0,0.0,0
251,meetup.com,0,0.0,0.0,0.0,0
252,appledaily.com.tw,0,0.0,0.0,0.0,0
253,buffer.com,0,0.0,0.0,0.0,0
254,kayak.com,0,0.0,0.0,0.0,0
255,dict.cc,0,0.0,0.0,0.0,0
